,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731884400,2024-11-18 00:00:00+01:00,3600,4.5,1,155652,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731884100,2024-11-17 23:55:00+01:00,3600,4.5,1,155651,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731883800,2024-11-17 23:50:00+01:00,3600,4.5,1,155650,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731883500,2024-11-17 23:45:00+01:00,3600,4.5,1,155649,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731883200,2024-11-17 23:40:00+01:00,3600,4.5,1,155648,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731882900,2024-11-17 23:35:00+01:00,3600,4.5,1,155647,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731882600,2024-11-17 23:30:00+01:00,3600,4.5,1,155646,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731882300,2024-11-17 23:25:00+01:00,3600,4.6,1,155645,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731882000,2024-11-17 23:20:00+01:00,3600,4.6,1,155644,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731881700,2024-11-17 23:15:00+01:00,3600,4.6,1,155643,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731881400,2024-11-17 23:10:00+01:00,3600,4.6,1,155642,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731881100,2024-11-17 23:05:00+01:00,3600,4.6,1,155641,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731880800,2024-11-17 23:00:00+01:00,3600,4.6,1,155640,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731880500,2024-11-17 22:55:00+01:00,3600,4.6,1,155639,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731880200,2024-11-17 22:50:00+01:00,3600,4.5,1,155638,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731879900,2024-11-17 22:45:00+01:00,3600,4.5,1,155637,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731879600,2024-11-17 22:40:00+01:00,3600,4.6,1,155636,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731879300,2024-11-17 22:35:00+01:00,3600,4.7,1,155635,False,
