,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731798000,2024-11-17 00:00:00+01:00,3600,8.4,1,155364,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731797700,2024-11-16 23:55:00+01:00,3600,8.4,1,155363,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731797400,2024-11-16 23:50:00+01:00,3600,8.4,1,155362,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731797100,2024-11-16 23:45:00+01:00,3600,8.4,1,155361,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731796800,2024-11-16 23:40:00+01:00,3600,8.4,1,155360,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731796500,2024-11-16 23:35:00+01:00,3600,8.4,1,155359,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731796200,2024-11-16 23:30:00+01:00,3600,8.4,1,155358,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731795900,2024-11-16 23:25:00+01:00,3600,8.4,1,155357,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731795600,2024-11-16 23:20:00+01:00,3600,8.4,1,155356,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731795300,2024-11-16 23:15:00+01:00,3600,8.4,1,155355,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731795000,2024-11-16 23:10:00+01:00,3600,8.3,1,155354,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731794700,2024-11-16 23:05:00+01:00,3600,8.4,1,155353,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731794400,2024-11-16 23:00:00+01:00,3600,8.4,1,155352,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731794100,2024-11-16 22:55:00+01:00,3600,8.3,1,155351,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731793800,2024-11-16 22:50:00+01:00,3600,8.3,1,155350,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731793500,2024-11-16 22:45:00+01:00,3600,8.3,1,155349,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731793200,2024-11-16 22:40:00+01:00,3600,8.3,1,155348,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731792900,2024-11-16 22:35:00+01:00,3600,8.3,1,155347,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731792600,2024-11-16 22:30:00+01:00,3600,8.3,1,155346,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731792300,2024-11-16 22:25:00+01:00,3600,8.3,1,155345,False,
20,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731792000,2024-11-16 22:20:00+01:00,3600,8.3,1,155344,False,
21,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731791700,2024-11-16 22:15:00+01:00,3600,8.2,1,155343,False,
22,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731791400,2024-11-16 22:10:00+01:00,3600,8.2,1,155342,False,
23,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731791100,2024-11-16 22:05:00+01:00,3600,8.2,1,155341,False,
24,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731790800,2024-11-16 22:00:00+01:00,3600,8.2,1,155340,False,
25,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731790500,2024-11-16 21:55:00+01:00,3600,8.1,1,155339,False,
26,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731790200,2024-11-16 21:50:00+01:00,3600,8.1,1,155338,False,
27,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731789900,2024-11-16 21:45:00+01:00,3600,8.2,1,155337,False,
28,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731789600,2024-11-16 21:40:00+01:00,3600,8.1,1,155336,False,
29,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731789300,2024-11-16 21:35:00+01:00,3600,8.1,1,155335,False,
30,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731789000,2024-11-16 21:30:00+01:00,3600,8.1,1,155334,False,
31,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731788700,2024-11-16 21:25:00+01:00,3600,8.0,1,155333,False,
32,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731788400,2024-11-16 21:20:00+01:00,3600,8.0,1,155332,False,
33,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731788100,2024-11-16 21:15:00+01:00,3600,8.0,1,155331,False,
34,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731787800,2024-11-16 21:10:00+01:00,3600,8.0,1,155330,False,
35,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731787500,2024-11-16 21:05:00+01:00,3600,8.0,1,155329,False,
36,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731787200,2024-11-16 21:00:00+01:00,3600,7.9,1,155328,False,
37,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731786900,2024-11-16 20:55:00+01:00,3600,7.9,1,155327,False,
38,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731786600,2024-11-16 20:50:00+01:00,3600,7.9,1,155326,False,
39,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731786300,2024-11-16 20:45:00+01:00,3600,7.8,1,155325,False,
40,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731786000,2024-11-16 20:40:00+01:00,3600,7.8,1,155324,False,
41,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731785700,2024-11-16 20:35:00+01:00,3600,7.8,1,155323,False,
42,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731785400,2024-11-16 20:30:00+01:00,3600,7.8,1,155322,False,
