,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731711600,2024-11-16 00:00:00+01:00,3600,8.1,1,155076,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731711300,2024-11-15 23:55:00+01:00,3600,8.1,1,155075,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731711000,2024-11-15 23:50:00+01:00,3600,8.1,1,155074,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731710700,2024-11-15 23:45:00+01:00,3600,8.2,1,155073,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731710400,2024-11-15 23:40:00+01:00,3600,8.2,1,155072,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731710100,2024-11-15 23:35:00+01:00,3600,8.2,1,155071,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731709800,2024-11-15 23:30:00+01:00,3600,8.2,1,155070,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731709500,2024-11-15 23:25:00+01:00,3600,8.1,1,155069,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731709200,2024-11-15 23:20:00+01:00,3600,8.1,1,155068,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731708900,2024-11-15 23:15:00+01:00,3600,8.2,1,155067,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731708600,2024-11-15 23:10:00+01:00,3600,8.3,1,155066,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731708300,2024-11-15 23:05:00+01:00,3600,8.3,1,155065,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731708000,2024-11-15 23:00:00+01:00,3600,8.3,1,155064,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731707700,2024-11-15 22:55:00+01:00,3600,8.3,1,155063,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731707400,2024-11-15 22:50:00+01:00,3600,8.3,1,155062,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731707100,2024-11-15 22:45:00+01:00,3600,8.3,1,155061,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731706800,2024-11-15 22:40:00+01:00,3600,8.4,1,155060,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731706500,2024-11-15 22:35:00+01:00,3600,8.4,1,155059,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731706200,2024-11-15 22:30:00+01:00,3600,8.4,1,155058,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731705900,2024-11-15 22:25:00+01:00,3600,8.4,1,155057,False,
20,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731705600,2024-11-15 22:20:00+01:00,3600,8.4,1,155056,False,
21,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731705300,2024-11-15 22:15:00+01:00,3600,8.4,1,155055,False,
22,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731705000,2024-11-15 22:10:00+01:00,3600,8.4,1,155054,False,
23,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731704700,2024-11-15 22:05:00+01:00,3600,8.4,1,155053,False,
24,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731704400,2024-11-15 22:00:00+01:00,3600,8.5,1,155052,False,
25,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731704100,2024-11-15 21:55:00+01:00,3600,8.4,1,155051,False,
26,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731703800,2024-11-15 21:50:00+01:00,3600,8.5,1,155050,False,
27,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731703500,2024-11-15 21:45:00+01:00,3600,8.5,1,155049,False,
28,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731703200,2024-11-15 21:40:00+01:00,3600,8.5,1,155048,False,
29,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731702900,2024-11-15 21:35:00+01:00,3600,8.5,1,155047,False,
30,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731702600,2024-11-15 21:30:00+01:00,3600,8.5,1,155046,False,
31,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731702300,2024-11-15 21:25:00+01:00,3600,8.6,1,155045,False,
32,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731702000,2024-11-15 21:20:00+01:00,3600,8.6,1,155044,False,
33,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731701700,2024-11-15 21:15:00+01:00,3600,8.6,1,155043,False,
34,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731701400,2024-11-15 21:10:00+01:00,3600,8.6,1,155042,False,
35,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731701100,2024-11-15 21:05:00+01:00,3600,8.7,1,155041,False,
36,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731700800,2024-11-15 21:00:00+01:00,3600,8.7,1,155040,False,
37,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731700500,2024-11-15 20:55:00+01:00,3600,8.6,1,155039,False,
38,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731700200,2024-11-15 20:50:00+01:00,3600,8.7,1,155038,False,
39,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731699900,2024-11-15 20:45:00+01:00,3600,8.6,1,155037,False,
40,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731699600,2024-11-15 20:40:00+01:00,3600,8.7,1,155036,False,
41,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731699300,2024-11-15 20:35:00+01:00,3600,8.7,1,155035,False,
42,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731699000,2024-11-15 20:30:00+01:00,3600,8.7,1,155034,False,
43,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731698700,2024-11-15 20:25:00+01:00,3600,8.7,1,155033,False,
