,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731625200,2024-11-15 00:00:00+01:00,3600,8.0,1,154788,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731624900,2024-11-14 23:55:00+01:00,3600,8.0,1,154787,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731624600,2024-11-14 23:50:00+01:00,3600,8.0,1,154786,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731624300,2024-11-14 23:45:00+01:00,3600,8.0,1,154785,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731624000,2024-11-14 23:40:00+01:00,3600,8.0,1,154784,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731623700,2024-11-14 23:35:00+01:00,3600,8.0,1,154783,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731623400,2024-11-14 23:30:00+01:00,3600,8.1,1,154782,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731623100,2024-11-14 23:25:00+01:00,3600,8.2,1,154781,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731622800,2024-11-14 23:20:00+01:00,3600,8.2,1,154780,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731622500,2024-11-14 23:15:00+01:00,3600,8.4,1,154779,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731622200,2024-11-14 23:10:00+01:00,3600,8.4,1,154778,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731621900,2024-11-14 23:05:00+01:00,3600,8.4,1,154777,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731621600,2024-11-14 23:00:00+01:00,3600,8.4,1,154776,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731621300,2024-11-14 22:55:00+01:00,3600,8.3,1,154775,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731621000,2024-11-14 22:50:00+01:00,3600,8.2,1,154774,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731620700,2024-11-14 22:45:00+01:00,3600,8.2,1,154773,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731620400,2024-11-14 22:40:00+01:00,3600,8.2,1,154772,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731620100,2024-11-14 22:35:00+01:00,3600,8.3,1,154771,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731619800,2024-11-14 22:30:00+01:00,3600,8.3,1,154770,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731619500,2024-11-14 22:25:00+01:00,3600,8.4,1,154769,False,
20,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731619200,2024-11-14 22:20:00+01:00,3600,8.5,1,154768,False,
21,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731618900,2024-11-14 22:15:00+01:00,3600,8.5,1,154767,False,
22,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731618600,2024-11-14 22:10:00+01:00,3600,8.5,1,154766,False,
23,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731618300,2024-11-14 22:05:00+01:00,3600,8.5,1,154765,False,
24,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731618000,2024-11-14 22:00:00+01:00,3600,8.6,1,154764,False,
25,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731617700,2024-11-14 21:55:00+01:00,3600,8.6,1,154763,False,
26,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731617400,2024-11-14 21:50:00+01:00,3600,8.8,1,154762,False,
27,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731617100,2024-11-14 21:45:00+01:00,3600,8.9,1,154761,False,
28,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731616800,2024-11-14 21:40:00+01:00,3600,8.8,1,154760,False,
29,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731616500,2024-11-14 21:35:00+01:00,3600,8.8,1,154759,False,
30,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731616200,2024-11-14 21:30:00+01:00,3600,8.9,1,154758,False,
31,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731615900,2024-11-14 21:25:00+01:00,3600,8.9,1,154757,False,
32,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731615600,2024-11-14 21:20:00+01:00,3600,8.9,1,154756,False,
33,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731615300,2024-11-14 21:15:00+01:00,3600,8.9,1,154755,False,
34,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731615000,2024-11-14 21:10:00+01:00,3600,8.9,1,154754,False,
35,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731614700,2024-11-14 21:05:00+01:00,3600,8.9,1,154753,False,
36,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731614400,2024-11-14 21:00:00+01:00,3600,9.0,1,154752,False,
37,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731614100,2024-11-14 20:55:00+01:00,3600,8.9,1,154751,False,
38,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731613800,2024-11-14 20:50:00+01:00,3600,8.9,1,154750,False,
39,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731613500,2024-11-14 20:45:00+01:00,3600,8.9,1,154749,False,
40,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731613200,2024-11-14 20:40:00+01:00,3600,8.9,1,154748,False,
41,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731612900,2024-11-14 20:35:00+01:00,3600,8.9,1,154747,False,
42,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731612600,2024-11-14 20:30:00+01:00,3600,8.9,1,154746,False,
43,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731612300,2024-11-14 20:25:00+01:00,3600,8.9,1,154745,False,
44,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731612000,2024-11-14 20:20:00+01:00,3600,8.9,1,154744,False,
45,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731611700,2024-11-14 20:15:00+01:00,3600,9.0,1,154743,False,
46,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731611400,2024-11-14 20:10:00+01:00,3600,9.0,1,154742,False,
47,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731611100,2024-11-14 20:05:00+01:00,3600,9.0,1,154741,False,
48,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731610800,2024-11-14 20:00:00+01:00,3600,9.0,1,154740,False,
49,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731610500,2024-11-14 19:55:00+01:00,3600,9.1,1,154739,False,
50,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731610200,2024-11-14 19:50:00+01:00,3600,9.1,1,154738,False,
51,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731609900,2024-11-14 19:45:00+01:00,3600,9.1,1,154737,False,
52,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731609600,2024-11-14 19:40:00+01:00,3600,9.1,1,154736,False,
53,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731609300,2024-11-14 19:35:00+01:00,3600,9.1,1,154735,False,
54,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731609000,2024-11-14 19:30:00+01:00,3600,9.0,1,154734,False,
55,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731608700,2024-11-14 19:25:00+01:00,3600,9.1,1,154733,False,
56,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731608400,2024-11-14 19:20:00+01:00,3600,9.0,1,154732,False,
57,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731608100,2024-11-14 19:15:00+01:00,3600,9.1,1,154731,False,
58,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731607800,2024-11-14 19:10:00+01:00,3600,9.1,1,154730,False,
59,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731607500,2024-11-14 19:05:00+01:00,3600,9.1,1,154729,False,
60,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731607200,2024-11-14 19:00:00+01:00,3600,9.1,1,154728,False,
61,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731606900,2024-11-14 18:55:00+01:00,3600,9.1,1,154727,False,
62,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731606600,2024-11-14 18:50:00+01:00,3600,9.0,1,154726,False,
63,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731606300,2024-11-14 18:45:00+01:00,3600,9.1,1,154725,False,
64,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731606000,2024-11-14 18:40:00+01:00,3600,9.0,1,154724,False,
65,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731605700,2024-11-14 18:35:00+01:00,3600,8.9,1,154723,False,
66,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731605400,2024-11-14 18:30:00+01:00,3600,8.9,1,154722,False,
67,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731605100,2024-11-14 18:25:00+01:00,3600,8.9,1,154721,False,
68,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731604800,2024-11-14 18:20:00+01:00,3600,8.8,1,154720,False,
69,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731604500,2024-11-14 18:15:00+01:00,3600,8.8,1,154719,False,
70,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731604200,2024-11-14 18:10:00+01:00,3600,8.8,1,154718,False,
71,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731603900,2024-11-14 18:05:00+01:00,3600,9.0,1,154717,False,
72,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731603600,2024-11-14 18:00:00+01:00,3600,9.0,1,154716,False,
73,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731603300,2024-11-14 17:55:00+01:00,3600,9.0,1,154715,False,
74,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731603000,2024-11-14 17:50:00+01:00,3600,9.0,1,154714,False,
75,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731602700,2024-11-14 17:45:00+01:00,3600,9.0,1,154713,False,
76,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731602400,2024-11-14 17:40:00+01:00,3600,9.0,1,154712,False,
77,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731602100,2024-11-14 17:35:00+01:00,3600,9.0,1,154711,False,
78,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731601800,2024-11-14 17:30:00+01:00,3600,9.2,1,154710,False,
79,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731601500,2024-11-14 17:25:00+01:00,3600,9.2,1,154709,False,
80,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731601200,2024-11-14 17:20:00+01:00,3600,9.2,1,154708,False,
81,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731600900,2024-11-14 17:15:00+01:00,3600,9.4,1,154707,False,
82,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731600600,2024-11-14 17:10:00+01:00,3600,9.4,1,154706,False,
83,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731600300,2024-11-14 17:05:00+01:00,3600,9.5,1,154705,False,
84,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731600000,2024-11-14 17:00:00+01:00,3600,9.6,1,154704,False,
85,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731599700,2024-11-14 16:55:00+01:00,3600,9.7,1,154703,False,
86,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731599400,2024-11-14 16:50:00+01:00,3600,9.7,1,154702,False,
87,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731599100,2024-11-14 16:45:00+01:00,3600,9.8,1,154701,False,
88,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731598800,2024-11-14 16:40:00+01:00,3600,9.9,1,154700,False,
89,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731598500,2024-11-14 16:35:00+01:00,3600,9.9,1,154699,False,
90,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731598200,2024-11-14 16:30:00+01:00,3600,9.9,1,154698,False,
91,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731597900,2024-11-14 16:25:00+01:00,3600,9.9,1,154697,False,
92,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731597600,2024-11-14 16:20:00+01:00,3600,9.9,1,154696,False,
93,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731597300,2024-11-14 16:15:00+01:00,3600,9.9,1,154695,False,
94,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731597000,2024-11-14 16:10:00+01:00,3600,9.9,1,154694,False,
95,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731596700,2024-11-14 16:05:00+01:00,3600,9.8,1,154693,False,
96,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731596400,2024-11-14 16:00:00+01:00,3600,9.9,1,154692,False,
97,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731596100,2024-11-14 15:55:00+01:00,3600,10.0,1,154691,False,
98,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731595800,2024-11-14 15:50:00+01:00,3600,10.0,1,154690,False,
99,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731595500,2024-11-14 15:45:00+01:00,3600,10.0,1,154689,False,
100,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731595200,2024-11-14 15:40:00+01:00,3600,10.0,1,154688,False,
101,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731594900,2024-11-14 15:35:00+01:00,3600,10.0,1,154687,False,
102,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731594600,2024-11-14 15:30:00+01:00,3600,10.0,1,154686,False,
103,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731594300,2024-11-14 15:25:00+01:00,3600,10.1,1,154685,False,
104,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731594000,2024-11-14 15:20:00+01:00,3600,10.2,1,154684,False,
105,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731593700,2024-11-14 15:15:00+01:00,3600,10.1,1,154683,False,
106,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731593400,2024-11-14 15:10:00+01:00,3600,10.0,1,154682,False,
107,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731593100,2024-11-14 15:05:00+01:00,3600,10.0,1,154681,False,
108,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731592800,2024-11-14 15:00:00+01:00,3600,10.0,1,154680,False,
109,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731592500,2024-11-14 14:55:00+01:00,3600,10.0,1,154679,False,
110,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731592200,2024-11-14 14:50:00+01:00,3600,10.1,1,154678,False,
