,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731452400,2024-11-13 00:00:00+01:00,3600,3.3,1,154212,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731452100,2024-11-12 23:55:00+01:00,3600,3.3,1,154211,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731451800,2024-11-12 23:50:00+01:00,3600,3.2,1,154210,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731451500,2024-11-12 23:45:00+01:00,3600,3.1,1,154209,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731451200,2024-11-12 23:40:00+01:00,3600,3.0,1,154208,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731450900,2024-11-12 23:35:00+01:00,3600,2.9,1,154207,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731450600,2024-11-12 23:30:00+01:00,3600,2.8,1,154206,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731450300,2024-11-12 23:25:00+01:00,3600,2.6,1,154205,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731450000,2024-11-12 23:20:00+01:00,3600,2.5,1,154204,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731449700,2024-11-12 23:15:00+01:00,3600,2.4,1,154203,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731449400,2024-11-12 23:10:00+01:00,3600,2.2,1,154202,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731449100,2024-11-12 23:05:00+01:00,3600,2.1,1,154201,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731448800,2024-11-12 23:00:00+01:00,3600,2.1,1,154200,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731448500,2024-11-12 22:55:00+01:00,3600,1.8,1,154199,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731448200,2024-11-12 22:50:00+01:00,3600,1.7,1,154198,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731447900,2024-11-12 22:45:00+01:00,3600,1.6,1,154197,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731447600,2024-11-12 22:40:00+01:00,3600,1.6,1,154196,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731447300,2024-11-12 22:35:00+01:00,3600,1.7,1,154195,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731447000,2024-11-12 22:30:00+01:00,3600,1.7,1,154194,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731446700,2024-11-12 22:25:00+01:00,3600,1.5,1,154193,False,
20,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731446400,2024-11-12 22:20:00+01:00,3600,1.5,1,154192,False,
21,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731446100,2024-11-12 22:15:00+01:00,3600,1.2,1,154191,False,
22,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731445800,2024-11-12 22:10:00+01:00,3600,1.3,1,154190,False,
23,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731445500,2024-11-12 22:05:00+01:00,3600,1.5,1,154189,False,
24,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731445200,2024-11-12 22:00:00+01:00,3600,1.5,1,154188,False,
25,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731444900,2024-11-12 21:55:00+01:00,3600,1.7,1,154187,False,
26,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731444600,2024-11-12 21:50:00+01:00,3600,1.6,1,154186,False,
27,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731444300,2024-11-12 21:45:00+01:00,3600,1.9,1,154185,False,
28,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731444000,2024-11-12 21:40:00+01:00,3600,1.8,1,154184,False,
29,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731443700,2024-11-12 21:35:00+01:00,3600,2.0,1,154183,False,
