,device_sn,device_name,port_number,sensor_sn,sensor_name,units,timestamp_utc,datetime,tz_offset,value,precision,mrid,error_flag,error_description
0,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731538800,2024-11-14 00:00:00+01:00,3600,10.5,1,154500,False,
1,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731538500,2024-11-13 23:55:00+01:00,3600,10.5,1,154499,False,
2,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731538200,2024-11-13 23:50:00+01:00,3600,10.5,1,154498,False,
3,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731537900,2024-11-13 23:45:00+01:00,3600,10.5,1,154497,False,
4,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731537600,2024-11-13 23:40:00+01:00,3600,10.4,1,154496,False,
5,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731537300,2024-11-13 23:35:00+01:00,3600,10.4,1,154495,False,
6,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731537000,2024-11-13 23:30:00+01:00,3600,10.4,1,154494,False,
7,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731536700,2024-11-13 23:25:00+01:00,3600,10.3,1,154493,False,
8,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731536400,2024-11-13 23:20:00+01:00,3600,10.3,1,154492,False,
9,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731536100,2024-11-13 23:15:00+01:00,3600,10.3,1,154491,False,
10,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731535800,2024-11-13 23:10:00+01:00,3600,10.3,1,154490,False,
11,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731535500,2024-11-13 23:05:00+01:00,3600,10.3,1,154489,False,
12,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731535200,2024-11-13 23:00:00+01:00,3600,10.2,1,154488,False,
13,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731534900,2024-11-13 22:55:00+01:00,3600,10.2,1,154487,False,
14,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731534600,2024-11-13 22:50:00+01:00,3600,10.2,1,154486,False,
15,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731534300,2024-11-13 22:45:00+01:00,3600,10.2,1,154485,False,
16,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731534000,2024-11-13 22:40:00+01:00,3600,10.2,1,154484,False,
17,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731533700,2024-11-13 22:35:00+01:00,3600,10.1,1,154483,False,
18,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731533400,2024-11-13 22:30:00+01:00,3600,10.1,1,154482,False,
19,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731533100,2024-11-13 22:25:00+01:00,3600,10.0,1,154481,False,
20,z6-08820,W1_ATMOS_SMST1,1,ATM-410008379,ATMOS 41, °C,1731532800,2024-11-13 22:20:00+01:00,3600,10.0,1,154480,False,
